Biological Process	Number of genes
regulation of myeloid cell apoptotic process	1
mammary gland epithelial cell proliferation	1
fucosylation	1
regulation of hair cycle	1
regulation of astrocyte differentiation	1
prostate gland morphogenesis	1
establishment of epithelial cell polarity	1
regulation of synaptic vesicle transport	1
negative regulation of reactive oxygen species biosynthetic process	1
protein localization to microtubule organizing center	1
positive regulation of leukocyte apoptotic process	1
B cell homeostasis	1
negative regulation of adenylate cyclase activity	1
protein kinase C-activating G-protein coupled receptor signaling pathway	1
aromatic amino acid family metabolic process	1
central nervous system neuron axonogenesis	1
apoptotic nuclear changes	1
positive regulation of insulin secretion involved in cellular response to glucose stimulus	1
regulation of meiotic nuclear division	1
regulation of amino acid transport	1
protein homotrimerization	1
protein kinase C signaling	1
regulation of neuron projection regeneration	1
multivesicular body sorting pathway	1
blastocyst formation	1
T cell mediated cytotoxicity	1
regulation of type 2 immune response	1
tricarboxylic acid cycle	1
regulation of necrotic cell death	1
bile acid and bile salt transport	1
rhodopsin mediated signaling pathway	1
cerebellar cortex morphogenesis	1
negative regulation of cAMP biosynthetic process	1
regulation of nuclease activity	1
response to increased oxygen levels	1
retinol metabolic process	1
retinoic acid receptor signaling pathway	1
erythrocyte development	1
homeostasis of number of cells within a tissue	1
chondroitin sulfate proteoglycan biosynthetic process	1
positive regulation of interleukin-1 secretion	1
face morphogenesis	1
positive regulation of cartilage development	1
protein K63-linked deubiquitination	1
protein K48-linked deubiquitination	1
quinone metabolic process	1
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	1
glucose catabolic process	1
leukotriene metabolic process	1
cellular component disassembly involved in execution phase of apoptosis	1
2'-deoxyribonucleotide metabolic process	1
regulation of keratinocyte proliferation	1
astrocyte development	1
negative regulation of cyclase activity	1
positive regulation of RNA splicing	1
secretory granule organization	1
toll-like receptor 4 signaling pathway	1
negative regulation of cyclin-dependent protein serine/threonine kinase activity	1
positive regulation of smoothened signaling pathway	1
fatty-acyl-CoA biosynthetic process	1
negative regulation of B cell activation	1
cilium-dependent cell motility	1
glial cell activation	1
negative regulation of lymphocyte apoptotic process	1
cellular response to interleukin-4	1
positive regulation of cell junction assembly	1
cilium or flagellum-dependent cell motility	1
proximal/distal pattern formation	1
regulation of platelet activation	1
regulation of vascular endothelial growth factor production	1
response to isoquinoline alkaloid	1
negative regulation of cyclic nucleotide biosynthetic process	1
intracellular lipid transport	1
myeloid cell apoptotic process	1
positive regulation of multicellular organism growth	1
eating behavior	1
anoikis	1
response to morphine	1
respiratory burst	1
mammary gland duct morphogenesis	1
regulation of pri-miRNA transcription by RNA polymerase II	1
positive regulation of epithelial cell apoptotic process	1
branching involved in blood vessel morphogenesis	1
negative regulation of production of molecular mediator of immune response	1
pyrimidine nucleotide biosynthetic process	1
7-methylguanosine mRNA capping	1
neuromuscular synaptic transmission	1
deoxyribose phosphate metabolic process	1
negative regulation of lyase activity	1
regulation of protein targeting to membrane	1
apoptotic process involved in development	1
regulation of extracellular matrix organization	1
negative regulation of cyclin-dependent protein kinase activity	1
maturation of 5.8S rRNA	1
mucosal immune response	1
citrate metabolic process	1
7-methylguanosine RNA capping	1
vascular endothelial growth factor production	1
peptidyl-glutamic acid modification	1
chromosome condensation	1
sleep	1
negative regulation of cAMP metabolic process	1
activation of protein kinase B activity	1
RNA capping	1
positive regulation of protein complex disassembly	1
positive regulation of smooth muscle contraction	1
regulation of T cell apoptotic process	1
axonemal dynein complex assembly	1
response to interleukin-4	1
interleukin-6 secretion	1
regulation of calcium ion import	1
negative regulation of cellular response to insulin stimulus	1
regulation of hydrogen peroxide-induced cell death	1
regulation of protein localization to cell surface	1
negative regulation of response to drug	1
behavioral fear response	1
behavioral defense response	1
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1
deoxyribonucleotide metabolic process	1
response to X-ray	1
macrophage derived foam cell differentiation	1
negative regulation of lipid transport	1
regulation of fibroblast growth factor receptor signaling pathway	1
negative regulation of JNK cascade	1
skeletal muscle fiber development	1
RNA polymerase II transcriptional preinitiation complex assembly	1
vitamin transport	1
ventricular cardiac muscle cell action potential	1
foam cell differentiation	1
negative regulation of blood circulation	1
positive regulation of vascular smooth muscle cell proliferation	1
regulation of actin cytoskeleton reorganization	1
embryonic axis specification	1
organ or tissue specific immune response	1
response to ischemia	1
transcription initiation from RNA polymerase I promoter	1
one-carbon metabolic process	1
porphyrin-containing compound metabolic process	1
activation of JUN kinase activity	1
mating	1
glial cell proliferation	1
triglyceride biosynthetic process	1
negative regulation of cyclic nucleotide metabolic process	1
negative regulation of toll-like receptor signaling pathway	1
protein localization to synapse	1
cell death in response to hydrogen peroxide	1
positive regulation of epidermis development	1
necroptotic process	1
regulation of heart rate by cardiac conduction	1
positive regulation of leukocyte mediated cytotoxicity	1
DNA catabolic process	1
cerebellum morphogenesis	1
response to food	1
response to fluid shear stress	1
type 2 immune response	1
fear response	1
regulation of CD4-positive, alpha-beta T cell differentiation	1
positive regulation of blood pressure	1
positive regulation of heart contraction	1
lung alveolus development	1
regulation of cellular response to drug	1
negative regulation of leukocyte migration	1
negative regulation of adaptive immune response	1
myotube cell development	1
negative regulation of histone modification	1
negative regulation of mitotic sister chromatid segregation	1
hippo signaling	1
neutral lipid biosynthetic process	1
acylglycerol biosynthetic process	1
mRNA stabilization	1
calcium ion-regulated exocytosis of neurotransmitter	1
regulation of defense response to virus by host	1
regulation of interleukin-1 beta secretion	1
adipose tissue development	1
pri-miRNA transcription by RNA polymerase II	1
tricarboxylic acid metabolic process	1
regulation of protein deacetylation	1
toxin transport	1
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	1
positive regulation of cardiocyte differentiation	1
NADH metabolic process	1
macrophage differentiation	1
G2 DNA damage checkpoint	1
secretion by tissue	1
regulation of collagen biosynthetic process	1
T-helper 1 type immune response	1
T cell homeostasis	1
regulation of activated T cell proliferation	1
positive regulation of alpha-beta T cell differentiation	1
inositol phosphate-mediated signaling	1
cellular response to glucagon stimulus	1
rRNA modification	1
positive regulation of smooth muscle cell migration	1
stem cell division	1
negative regulation of sister chromatid segregation	1
fatty-acyl-CoA metabolic process	1
ketone biosynthetic process	1
regulation of adenylate cyclase activity	1
regulation of protein export from nucleus	1
ventricular septum morphogenesis	1
histone H3-K9 modification	1
dendritic cell differentiation	1
nucleobase metabolic process	1
response to pH	1
hindbrain morphogenesis	1
chondroitin sulfate metabolic process	1
keratinocyte proliferation	1
plasma membrane fusion	1
negative regulation of chromosome segregation	1
programmed necrotic cell death	1
vascular endothelial cell proliferation	1
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	1
regulation of vascular endothelial cell proliferation	1
membrane protein ectodomain proteolysis	1
dopamine transport	1
translesion synthesis	1
response to testosterone	1
positive regulation of potassium ion transport	1
RNA stabilization	1
positive regulation of nitric oxide biosynthetic process	1
regulation of cholesterol biosynthetic process	1
mitochondrion localization	1
positive regulation of nitric oxide metabolic process	1
DNA replication initiation	1
base-excision repair	1
regulation of gastrulation	1
regulation of collagen metabolic process	1
protein exit from endoplasmic reticulum	1
CENP-A containing nucleosome assembly	1
negative regulation of osteoblast differentiation	1
chondroitin sulfate proteoglycan metabolic process	1
activated T cell proliferation	1
CENP-A containing chromatin organization	1
pyrimidine-containing compound biosynthetic process	1
regulation of synaptic vesicle cycle	1
positive regulation of NIK/NF-kappaB signaling	1
regulation of cilium assembly	1
regulation of cardiac muscle cell differentiation	1
regulation of DNA-templated transcription, elongation	1
negative regulation of blood pressure	1
circadian behavior	1
interleukin-1 beta secretion	1
regulation of interleukin-1 secretion	1
cofactor transport	1
regulation of alternative mRNA splicing, via spliceosome	1
lactation	1
rhythmic behavior	1
chromatin remodeling at centromere	1
epithelial cell differentiation involved in kidney development	1
regulation of release of cytochrome c from mitochondria	1
positive regulation of cell-matrix adhesion	1
negative regulation of myeloid leukocyte differentiation	1
bile acid metabolic process	1
intrinsic apoptotic signaling pathway in response to oxidative stress	1
positive regulation of cell killing	1
p38MAPK cascade	1
DNA-templated transcriptional preinitiation complex assembly	1
regulation of response to reactive oxygen species	1
regulation of membrane depolarization	1
pyrimidine nucleotide metabolic process	1
male meiotic nuclear division	1
negative regulation of nucleotide biosynthetic process	1
negative regulation of stress-activated MAPK cascade	1
collagen biosynthetic process	1
coronary vasculature development	1
endocrine hormone secretion	1
negative regulation of stress-activated protein kinase signaling cascade	1
negative regulation of purine nucleotide biosynthetic process	1
regulation of autophagy of mitochondrion	1
positive regulation of neuron apoptotic process	1
positive regulation of DNA repair	1
negative regulation of mitotic nuclear division	1
negative regulation of lipid localization	1
tRNA aminoacylation for protein translation	1
endoplasmic reticulum organization	1
prostate gland development	1
regulation of DNA-dependent DNA replication	1
embryo implantation	1
regulation of interleukin-2 production	1
phosphatidylinositol-3-phosphate biosynthetic process	1
receptor clustering	1
positive regulation of muscle contraction	1
histone H3-K4 methylation	1
regulation of endothelial cell apoptotic process	1
negative regulation of BMP signaling pathway	1
response to glucagon	1
thioester biosynthetic process	1
interleukin-1 secretion	1
protein trimerization	1
acyl-CoA biosynthetic process	1
syncytium formation by plasma membrane fusion	1
mitochondrial electron transport, NADH to ubiquinone	1
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	1
hexose catabolic process	1
tRNA aminoacylation	1
positive regulation of mitotic nuclear division	1
positive regulation of phagocytosis	1
necrotic cell death	1
positive regulation of protein localization to plasma membrane	1
negative regulation of cytokine-mediated signaling pathway	1
centromere complex assembly	1
amino acid activation	1
negative regulation of DNA binding	1
regulation of alpha-beta T cell differentiation	1
regulation of ubiquitin-protein transferase activity	1
cardiac muscle cell action potential involved in contraction	1
regulation of cholesterol metabolic process	1
positive regulation of reactive oxygen species biosynthetic process	1
CD4-positive, alpha-beta T cell differentiation involved in immune response	1
cellular biogenic amine metabolic process	1
syncytium formation	1
positive regulation of wound healing	1
ovarian follicle development	1
alpha-beta T cell activation involved in immune response	1
alpha-beta T cell differentiation involved in immune response	1
response to gamma radiation	1
positive regulation of chemokine production	1
circadian regulation of gene expression	1
ceramide biosynthetic process	1
negative regulation of smooth muscle cell proliferation	1
negative regulation of muscle cell differentiation	1
cell differentiation involved in kidney development	1
response to zinc ion	1
striated muscle adaptation	1
positive regulation of DNA replication	1
alternative mRNA splicing, via spliceosome	1
release of cytochrome c from mitochondria	1
killing of cells of other organism	1
interleukin-2 production	1
positive regulation of cytokine biosynthetic process	1
disruption of cells of other organism	1
regulation of lyase activity	1
negative regulation of response to cytokine stimulus	1
endothelial cell apoptotic process	1
negative regulation of purine nucleotide metabolic process	1
regulation of nitric oxide biosynthetic process	1
negative regulation of nucleotide metabolic process	1
negative regulation of nuclear division	1
regulation of cardiocyte differentiation	1
regulation of double-strand break repair	1
lysosome organization	1
lytic vacuole organization	1
regulation of vascular smooth muscle cell proliferation	1
vascular smooth muscle cell proliferation	1
proteoglycan biosynthetic process	1
regulation of NIK/NF-kappaB signaling	1
blastocyst development	1
T cell differentiation involved in immune response	1
regulation of cellular amino acid metabolic process	1
cellular response to glucocorticoid stimulus	1
glycosaminoglycan catabolic process	1
transcription by RNA polymerase I	1
monosaccharide catabolic process	1
lamellipodium assembly	1
positive regulation of nuclear division	1
cardiac muscle cell contraction	1
alpha-amino acid biosynthetic process	1
NADH dehydrogenase complex assembly	1
mitochondrial respiratory chain complex I assembly	1
CD4-positive, alpha-beta T cell differentiation	1
regulation of alcohol biosynthetic process	1
positive regulation of response to wounding	1
cellular iron ion homeostasis	1
regulation of smooth muscle contraction	1
regulation of mitotic sister chromatid segregation	1
membrane protein proteolysis	1
cellular response to corticosteroid stimulus	1
positive regulation of epithelial cell differentiation	1
ventricular septum development	1
regulation of bone mineralization	1
positive regulation of tyrosine phosphorylation of STAT protein	1
cellular response to ionizing radiation	1
aminoglycan catabolic process	1
positive regulation of striated muscle cell differentiation	1
negative regulation of endothelial cell proliferation	1
positive regulation of blood circulation	1
cell redox homeostasis	1
COPII-coated vesicle budding	1
regulation of cellular response to insulin stimulus	1
cholesterol homeostasis	1
sterol homeostasis	1
fatty acid beta-oxidation	1
glycosphingolipid metabolic process	1
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1
positive regulation of T cell differentiation	1
negative regulation of synaptic transmission	1
calcium ion import	1
negative regulation of autophagy	1
regulation of phagocytosis	1
DNA synthesis involved in DNA repair	1
endosome organization	1
natural killer cell activation	1
vesicle-mediated transport to the plasma membrane	1
regulation of sister chromatid segregation	1
vasoconstriction	1
regulation of biomineral tissue development	1
regulation of epithelial cell apoptotic process	1
regulation of tyrosine phosphorylation of STAT protein	1
plasma membrane organization	1
negative regulation of MAP kinase activity	1
flagellated sperm motility	1
regulation of cellular amine metabolic process	1
regulation of mRNA splicing, via spliceosome	1
positive regulation of response to DNA damage stimulus	1
tyrosine phosphorylation of STAT protein	1
anaphase-promoting complex-dependent catabolic process	1
regulation of epidermis development	1
positive regulation of JAK-STAT cascade	1
Golgi vesicle budding	1
cellular amino acid biosynthetic process	1
lamellipodium organization	1
sperm motility	1
positive regulation of STAT cascade	1
endocrine process	1
aerobic respiration	1
positive regulation of lymphocyte differentiation	1
negative regulation of blood vessel diameter	1
histone deacetylation	1
cholesterol transport	1
regulation of tissue remodeling	1
proteoglycan metabolic process	1
ephrin receptor signaling pathway	1
negative regulation of myeloid cell differentiation	1
regulation of BMP signaling pathway	1
regulation of systemic arterial blood pressure	1
phagocytosis, engulfment	1
SRP-dependent cotranslational protein targeting to membrane	1
alpha-beta T cell differentiation	1
activation of GTPase activity	1
response to antineoplastic agent	1
fatty acid derivative biosynthetic process	1
sterol transport	1
negative regulation of leukocyte differentiation	1
mitochondrial ATP synthesis coupled electron transport	1
regulation of muscle adaptation	1
T cell activation involved in immune response	1
cotranslational protein targeting to membrane	1
ATP synthesis coupled electron transport	1
vesicle budding from membrane	1
integrin-mediated signaling pathway	1
negative regulation of G2/M transition of mitotic cell cycle	1
B cell receptor signaling pathway	1
cardiac muscle hypertrophy	1
mitochondrial respiratory chain complex assembly	1
striated muscle hypertrophy	1
bone mineralization	1
positive regulation of actin filament polymerization	1
regulation of chromosome segregation	1
protein targeting to ER	1
muscle hypertrophy	1
alpha-amino acid catabolic process	1
neuropeptide signaling pathway	1
cerebral cortex development	1
transition metal ion transport	1
regulation of striated muscle cell differentiation	1
muscle adaptation	1
respiratory electron transport chain	1
negative regulation of protein catabolic process	1
cellular transition metal ion homeostasis	1
cellular amino acid catabolic process	1
establishment of cell polarity	1
epidermal growth factor receptor signaling pathway	1
positive regulation of leukocyte differentiation	1
sister chromatid cohesion	1
humoral immune response mediated by circulating immunoglobulin	1
negative regulation of hemopoiesis	1
regulation of JAK-STAT cascade	1
regulation of STAT cascade	1
