Biological Process	Number of genes
negative regulation of ion transmembrane transporter activity	8
response to fatty acid	8
chemokine-mediated signaling pathway	8
negative regulation of transporter activity	8
negative regulation of cation transmembrane transport	8
hair follicle development	8
molting cycle process	8
hair cycle process	8
artery development	8
skin epidermis development	8
regulation of striated muscle contraction	8
extracellular matrix disassembly	8
sensory perception of pain	8
negative regulation of intrinsic apoptotic signaling pathway	8
ureteric bud development	8
pigmentation	8
mesonephric epithelium development	8
mesonephric tubule development	8
cardiac septum development	8
regulation of DNA biosynthetic process	8
mesonephros development	8
metencephalon development	8
microtubule polymerization or depolymerization	8
positive regulation of proteasomal protein catabolic process	8
positive regulation of calcium ion transport	8
DNA-templated transcription, termination	8
mitotic spindle organization	8
positive regulation of establishment of protein localization to mitochondrion	8
cell-cell junction assembly	8
regulation of tumor necrosis factor production	8
monosaccharide transmembrane transport	8
tumor necrosis factor production	8
regulation of tumor necrosis factor superfamily cytokine production	8
regulation of proteasomal ubiquitin-dependent protein catabolic process	8
carbohydrate transmembrane transport	8
positive regulation of proteolysis involved in cellular protein catabolic process	8
response to calcium ion	8
establishment of planar polarity	8
establishment of tissue polarity	8
tumor necrosis factor superfamily cytokine production	8
tRNA processing	8
negative regulation of peptide secretion	8
regulation of establishment of protein localization to mitochondrion	8
smoothened signaling pathway	8
endoplasmic reticulum unfolded protein response	8
response to organophosphorus	8
microtubule cytoskeleton organization involved in mitosis	8
signal transduction in response to DNA damage	8
positive regulation of ion transmembrane transport	8
regulation of dendrite development	8
response to hydrogen peroxide	8
positive regulation of cellular protein catabolic process	8
myeloid cell homeostasis	8
ATP biosynthetic process	8
regulation of ubiquitin-dependent protein catabolic process	8
regulation of calcium ion transmembrane transport	8
neurotransmitter secretion	8
signal release from synapse	8
carbohydrate transport	8
regulation of epithelial cell differentiation	8
purine ribonucleoside triphosphate biosynthetic process	8
negative regulation of leukocyte activation	8
purine nucleoside triphosphate biosynthetic process	8
presynaptic process involved in chemical synaptic transmission	8
monocarboxylic acid transport	8
glycosaminoglycan metabolic process	8
phosphatidylinositol-mediated signaling	8
ribonucleoside triphosphate biosynthetic process	8
regulation of mitotic nuclear division	8
inositol lipid-mediated signaling	8
vascular process in circulatory system	8
mitotic cell cycle checkpoint	8
regulation of muscle cell differentiation	8
positive regulation of mitochondrion organization	8
positive regulation of endopeptidase activity	8
aminoglycan metabolic process	8
regulation of cytokine secretion	8
regulation of reactive oxygen species metabolic process	8
regulation of carbohydrate metabolic process	8
hematopoietic progenitor cell differentiation	8
sulfur compound biosynthetic process	8
carbohydrate derivative catabolic process	8
translational initiation	8
positive regulation of supramolecular fiber organization	8
cytokine secretion	8
nuclear export	8
establishment or maintenance of cell polarity	8
muscle cell proliferation	8
positive regulation of T cell activation	8
acute inflammatory response	8
regulation of cysteine-type endopeptidase activity involved in apoptotic process	8
neuron apoptotic process	8
extrinsic apoptotic signaling pathway	8
phosphatidylinositol metabolic process	8
production of molecular mediator of immune response	8
positive regulation of leukocyte cell-cell adhesion	8
organic hydroxy compound transport	8
regulation of peptidyl-tyrosine phosphorylation	8
negative regulation of cytokine production	8
meiotic cell cycle	8
germ cell development	8
negative regulation of endopeptidase activity	8
energy derivation by oxidation of organic compounds	8
antigen receptor-mediated signaling pathway	8
DNA replication	8
Rab protein signal transduction	8
B cell differentiation	8
female gamete generation	8
negative regulation of DNA metabolic process	8
DNA recombination	8
cellular glucuronidation	7
epoxygenase P450 pathway	7
uronic acid metabolic process	7
glucuronate metabolic process	7
exogenous drug catabolic process	7
heart formation	7
cochlea morphogenesis	7
acetylcholine receptor signaling pathway	7
signal transduction involved in cellular response to ammonium ion	7
response to acetylcholine	7
cellular response to acetylcholine	7
N-terminal protein amino acid modification	7
specification of animal organ identity	7
proximal/distal pattern formation	7
regulation of animal organ formation	7
renal water homeostasis	7
synaptic transmission, cholinergic	7
mesodermal cell differentiation	7
cell fate commitment involved in formation of primary germ layer	7
regulation of heart morphogenesis	7
positive regulation of protein acetylation	7
cell fate determination	7
pituitary gland development	7
dopamine receptor signaling pathway	7
cochlea development	7
positive regulation of telomere maintenance	7
forebrain neuron differentiation	7
cGMP metabolic process	7
positive regulation of cyclic nucleotide metabolic process	7
negative regulation of viral genome replication	7
response to activity	7
regulation of peptidyl-lysine acetylation	7
branching involved in ureteric bud morphogenesis	7
insulin secretion involved in cellular response to glucose stimulus	7
regulation of telomere maintenance via telomere lengthening	7
ureteric bud morphogenesis	7
positive regulation of DNA biosynthetic process	7
mesonephric tubule morphogenesis	7
positive regulation of mRNA metabolic process	7
cholesterol biosynthetic process	7
multi-organism behavior	7
cellular response to dsRNA	7
positive regulation of carbohydrate metabolic process	7
negative regulation of protein polymerization	7
skeletal muscle cell differentiation	7
astrocyte differentiation	7
secondary alcohol biosynthetic process	7
microtubule polymerization	7
sterol biosynthetic process	7
regulation of release of sequestered calcium ion into cytosol	7
regulation of cardiac muscle contraction	7
adult locomotory behavior	7
telomere maintenance via telomere lengthening	7
regulation of telomere maintenance	7
regulation of mitochondrial membrane permeability	7
signal transduction involved in cell cycle checkpoint	7
muscle tissue morphogenesis	7
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	7
negative regulation of lipid metabolic process	7
defense response to Gram-negative bacterium	7
glutamate receptor signaling pathway	7
DNA geometric change	7
regulation of epithelial to mesenchymal transition	7
muscle organ morphogenesis	7
regulation of membrane permeability	7
chloride transmembrane transport	7
positive regulation of ion transmembrane transporter activity	7
positive regulation of cell cycle arrest	7
embryonic placenta development	7
